Ejemplo;Modismo;Definición Real;Sinónimo;Definición Sinónimo;Acorde;Def. real; ;;
Me hago el dormido para no darle el puesto al viejito cacreco que se acaba de subir.;cacreco;Referido a una persona, envejecida que padece achaques.;viejo achacoso;Anciano débil y demacrado por la edad.;1;1;;;
En la ceremonia ascenderán a marineros a 208 grumetes y 40 más se escalafonarán como suboficiales navales.;escalafonar;Clasificar o incluir en un escalafón.;ascender;Mover a alguien a un rango o cargo superior dentro de la jerarquía;1;1;;;
Es un defensa ideal: seguro, guapo, limpio. Ni se diga cuando juega al ataque.;guapo;Referido a una persona, valiente.;eficiente;Eficaz en la ejecución de acciones sin errores.;0;1;;;
carlitos es una pingua de dos años;pingua;persona u objeto de tamaño muy pequeño;niño chiquito;menor de edad, criatura de corta edad;1;1;;;
Remojó el vestido dentro de un platón con blanqueador por casi dos horas.;blanqueador;Producto líquido que se utiliza para blanquear la ropa y para destruir gérmenes.;lejía;líquido químico para blanquear y desinfectar ropa;1;1;;;
Antes solo pensaba en plata, plata, plata, plata vivía ‘embambado’ (con cadenas y pulseras) y no veía mis errores, creía que yo era bueno.;embambado;Referido a una persona, que luce y ostenta joyas vistosas.;lleno de joyas;Persona que lleva muchas cadenas y adornos ostentosos.;1;1;;;
Ya llegaron al aeropuerto, más tarde constataré por los noticieros radiales si tuvieron algún contratiempo al abordar el avión con destino a Barbados.;radial;Que se emite por la radio.;de radio;transmitidos por ondas de radio;1;1;;;
Una de las directoras ha interpuesto todos los recursos y trucos imaginables para arrancharse en el sitio.;arrancharse;Resistirse una persona o un animal a hacer algo.;quedarse instalada;permanecer firmemente en un puesto sin intención de abandonarlo;0;0;;;
Cuando el miembro del nivel ejecutivo, suboficial o agente utilice cubrecabezas tipo kepis con universal blanca, llevará carrillera blanca.;kepis;Gorra militar de forma ovalada y con visera.;gorra militar;Gorra cilíndrica con visera usada por militares.;1;1;;;
Quisiera saber cómo puedo ver esta novela desde España, me dejaron iniciado y estando uno tan lejos de la tierrita, estas novelas lo hacen sentir a uno más cerquita a la casa.;iniciado;Referido a una persona, insatisfecha por algo que no se puede concluir o alcanzar.;enganchado;Atraído intensamente hacia algo deseado.;0;1;;;
Actualmente, la oferta de madera de abarco ha disminuido, como consecuencia de la reducción de sus poblaciones naturales.;abarco;Árbol maderable que alcanza una altura hasta 50 m, de hojas lanceoladas, follaje poco frondoso, la corteza se procesa para la elaboración de canastos.;albarco;Árbol maderable colombiano de la especie Cariniana pyriformis.;1;1;;;
El caldo de ají estaba sabroso, pero del gusto de volver a los sabores tradicionales se me fue la mano en la fariña y me emplayé.;emplayar;Añadir demasiada fariña a un caldo.;excederme;Pasar del límite adecuado en cantidad o intensidad.;1;1;;;
por eso nos agallina tanto la pobreza;agallinar;acobardar;acobardar;causar miedo o temor que paraliza;1;1;;;
De los tejidos en los sáliba se encargan los hombres y a veces las mujeres que elaboran sombreros, canastos o mapires, mochilas y chinchorros.;mapire;Canasto de forma cilíndrica y con boca ancha, tejido con diversos tipos de fibras vegetales, con tiras para cargarlo a la espalda y que es usado por algunas comunidades indígenas de la orinoquía.;mochila tejida;Cesto cilíndrico de boca ancha con tiras para la espalda.;1;1;;;
no lo vayan a matar tan chirringo;chirringo;chiquitín;tan chiquito;Extremadamente pequeño o de baja estatura;1;1;;;
La perrita nació toloncha.;toloncho;Referido a un animal, que no tiene cola.;sin cola;Carece de rabo desde su nacimiento;1;1;;;
Uy sí, cómo no moñito que uno llega por tierra hasta la Costa desde Bogotá en solo 6 horas.;moñito;Se usa para indicar incredulidad frente a lo que se afirma.;mentira;Afirmación falsa o inexacta.;1;1;;;
Puso un caucho alrededor de las carpetas de trabajo para separarlas de las demás.;caucho;Cinta, cordón o tejido elástico en forma de anillo que se usa para sujetar cosas.;goma elástica;banda de goma usada para sujetar o agrupar objetos;1;1;;;
Los hombres –porque es cosa de hombres y sólo de algunas mujeres mayores- mambean cuando empiezan a trabajar y durante todo el día.;mambear;Consumir, diluyendo con la saliva el polvo del mambe en la boca, especialmente con fines rituales, medicinales o espirituales.;mascar hoja de coca;Consumir masticando o manteniendo en la boca polvo o hoja de coca para obtener energía y vigilia;1;1;;;
yo más bien me voy en cachilapo;cachilapo;vehículo pequeño, carpado, utilizado para transportar personas, animales y bultos de regular tamaño;moto;vehículo motorizado de dos ruedas para transportar personas y carga ligera;0;1;;;
¿Es cierto que en la próxima película de la saga sale el mismo protagonista o me cuentearon?;cuentear;Engañar a una persona usando promesas o argumentos falsos.;engañar;dar información falsa para hacerme creer algo;1;1;;;
Para defenderse de un programa de chismes, la actriz argumenta que es cansona pero todo por el bien de su personaje.;cansón;Referido a una persona o a algo, necia, que molesta mucho.;pesada;Persona que molesta por insistente o agotadora.;1;1;;;
Él mismo se hacía llamar murrapo por tener la estatura de su madre y unos kilos demás.;murrapo;Persona que es gorda y de baja estatura.;chaparro y rellenito;Persona de baja estatura con algo de sobrepeso;1;1;;;
"Ahora resulta que somos malhablados y envidiosos... Mejor dicho, unos ""guaches"", ¡qué bolera!";bolera;Expresa molestia o fastidio.;¡qué fastidio!;Expresa contrariedad, molestia o irritación por una situación injusta.;1;1;;;
Como estás próximo a graduarte es necesario que cumplas con unos requisitos mínimos que acrediten que estás a paz y salvo con diferentes áreas de la universidad.;paz;Estar saldada una deuda con una entidad oficial o con un particular.;al día;tener obligaciones y cuentas resueltas con la institución;1;1;;;
alcánceme esa vaina;vaina;palabra comodín para designar cualquier cosa;esa cosa;objeto indeterminado que se pide pasar;1;1;;;
Estaba seca con las llamadas de la empresa de teléfonos ofreciéndome planes de todo tipo.;seco, ca;Referido a una persona, cansada o aturdida por la insistencia de alguien o algo.;harta;Cansada o fastidiada por algo repetido;1;1;;;
dele julepe/amigo don chepe./dele a don chepe/amigo julepe;meterle julepe;a una cosa . poner interés en la realización de algo;asustarlo;Provocar miedo o sobresalto en alguien;0;1;;;
Los agricultores están asesorándose con un ingeniero agrícola para que la papa no salga mura.;mura;Referido a la papa, que no se encuentra en buen estado.;defectuosa;Con fallos o imperfecciones que afectan su calidad.;0;1;;;
Pero qué acose el tuyo. Al menos espera a que lleguemos a la casa.;acose;Persecusión o presión causada por la insistencia de alguien.;apresurado;Actuar con prisa o impaciencia para hacer algo;0;1;;;
le está fallando el mango;mango;corazón;control;pérdida de dominio o manejo sobre algo;0;1;;;
En los municipios de la región, muchos subían a coger hielo para hacer los famosos helados de paila. Todavía se cree que ese manjar, endulzado con miel y leche condensada, es bueno para el guayabo.;helado;Crema helada mezclada con frutas, azúcar, leche y aromatizantes que adquiere consistencia al verterse en una paila de cobre que se hace girar manualmente, sobre trozos de hielo.;nieve;Postre helado artesanal hecho con hielo y sabores dulces;1;1;;;
La capacidad portante de la canaleta, se traduce en tranquilidad ante fenómenos naturales como la lluvia fuerte.;canaleta;Especie de ducto ubicado bajo el tejado, que recoge y conduce el agua lluvia hacia el sistema de alcantarillado.;resistencia al agua;Habilidad para soportar grandes cantidades de lluvia sin fallar.;0;1;;;
Tiene el pelo churrusco y poco. Tiene la frente grande y los ojos hundidos.;churrusco, ca;Referido al cabello, ensortijado.;crespo;Cabello rizado u ondulado, de poco volumen;1;1;;;
"Ya con hambre porque no venden un plato de comida sino chucherías y mango biche, ni siquiera una almojábana; contrariados, nos fuimos para donde ‘Juvalito’ y ahí con los “fritos” de siempre tanqueamos […].";tanquear;Comer, alimentarse.;comer;Consumir comida para saciar el hambre;1;1;;;
Mi papá, que se quedaba leyendo en el cuarto, o arrodillado frente a sus rosas en el rosal, mientras ella hacía la pantomima de que le consultaba.;rosal;Terreno sembrado de rosas.;macizo de rosas;conjunto de rosas plantadas en un mismo lugar;1;1;;;
El dinero será utilizado para intervenir la cubierta principal, el cielo raso, el entejado, los aleros, las canaletas.;entejado;Techo de una construcción que está hecho con tejas.;tejado;superficie exterior superior de la construcción cubierta con tejas o materiales de cubierta;1;1;;;
Se publicará la nueva estratificación. Los habitantes de la ciudad podrán localizar la cuadra en donde viven para determinar si cambiarán de estrato o si permanecerán en el mismo.;cuadra;Distancia que hay entre dos esquinas de una manzana.;manzana;conjunto de viviendas y terreno delimitado por calles en la ciudad;1;1;;;
"Espera tu tanda para pedir aguardiente; por ahora vamos bien así con cerveza nada más.";tanda;En una reunión, turno de bebida que costea uno de los participantes.;turno;Momento asignado para actuar o recibir algo en secuencia.;1;1;;;
Un connotado grupo de dirigentes conservadores, empresarios y dirigentes políticos, anunció su adhesión a su candidatura presidencial.;connotado;Referido a una persona o situación, importante, famosa.;destacado;notable o prominente en su ámbito;0;1;;;
Para poder estimular todos los músculos y optimizar al máximo los resultados, es necesario usar una licra ultra delgada.;licra;Pantalón largo o corto, hecho de un material delgado, elástico y ajustado al cuerpo que se utiliza generalmente para hacer una actividad física.;malla elástica;Tejido sintético elástico para prendas deportivas ajustadas.;1;1;;;
Pienso volver a ser cacique como fue mi padre y ahí sí me volveré a poner el guayuco y viviré con mis antiguas costumbres en mi tierra del Amazonas.;guayuco;Trozo de tela o piel de animales, que usan los indígenas para taparse los genitales.;taparrabos;Prenda indígena que cubre los genitales.;1;1;;;
la muchacha que a los quince/no se acueste con sus taitas,/que se tranque bien la puerta/porque se la lleva el juaica;juaica;anciano fabuloso que vive en las montañas y que persigue a las muchachas casaderas;espanto;criatura temida que se lleva o acecha a la gente;0;1;;;
Jocoso, el entrenador protagonizó una situación en la que le dio un ‘calvazo’ a su asistente.;calvazo;Golpe en seco que se da o se recibe en la cabeza, con la palma de la mano.;zape;Palmada fuerte en la cabeza dada con la mano;1;1;;;
Ese vecino es pupi, mira el carro que tiene.;pupi;Referido a una persona, cosa o situación, fina, elegante.;pituco;Persona de clase alta que muestra ostentación;1;1;;;
al ratico me dieron alfandoque, conejo y blanquiao;blanquiao;golosina elaborada con miel de caña que se bate, sin llegar al punto de caramelo;panela blanca;Dulce de caña refinado de color blanco lechoso;1;1;;;
Si observa que las cañerías comienzan a resonar y gorgorear tal vez ya sea hora de realizarle un mantenimiento correctivo.;gorgorear;Borbotear ruidosamente el agua.;gorgotear;Hacer ruido de líquido borboteando en tuberías.;1;1;;;
tiene arrumados los libros en una esquina;arrumar;amontonar;amontonar;Poner unas cosas sobre otras formando un montón.;1;1;;;
"Antes de desempacar las maletas ya saben qué traje; la más esculcona de mis tres hijas siempre es la menor.";esculcón;Referido a alguien, que acostumbra registrar los bolsillos o pertenencias de otro.;curiosa;Tiene gran interés por revisar o averiguar cosas ajenas;0;1;;;
La relación entre el uso de una herramienta denominada “El Rallo”, empleada para el lavado de la ropa y la presencia de la lumbalgia mecánica.;rallo;Tabla de madera tallada de forma dentada en una de sus caras que se usa para restregar la ropa.;lavadero manual;instrumento para fregar y restregar la ropa;0;1;;;
El casabe de almidón es considerado como el más fino de los casabes porque no contiene ninguna mezcla.;almidón;Harina muy fina que se extrae de la yuca amarga.;puro;Libre de impurezas o aditivos.;0;1;;;
¡Qué totazo que se dio en la mula!;mula;Cabeza de una persona.;vehículo;Objeto usado para transportar personas o carga, como carro o camión;0;1;;;
Un proyecto que tenemos enmochilado es investigar en la Web grupos recreativos con los cuales nos podamos integrar.;enmochilado;Referido a un asunto, postergado.;pendiente;tarea aplazada que aún está por hacerse;1;1;;;
Te ves más elegante si te apuntas solo el botón de la mitad de la chaqueta.;apuntarse;Referido a una prenda de vestir, cerrarla metiendo los botones en los ojales.;abotonarte;Cerrar el botón indicado de una prenda;1;1;;;
En las aulagas por las que pasa el país es inconcebible que se incurra en un [gasto] tan cuantioso como el de los vehículos blindados.;aulagas;Problemas o inconvenientes.;dificultades;Situaciones complicadas o problemas que se atraviesan.;1;1;;;
Por culpa de la sapeada a la policía ahora no puede ni asomarse a la ventana.;sapeada;Denuncia.;delación;Acción de informar o denunciar a autoridades sobre actividades ilícitas.;1;1;;;
El alcalde mayor de Bogotá, anunció fuertes sanciones contra las empresas que realizan el paro de transporte público en Bogotá.;alcalde;Máximo jefe administrativo del gobierno municipal en una ciudad capital con alcaldías locales.;alcalde mayor;Jefe administrativo principal del distrito capital.;1;1;;;
La suite del presidente cuenta con dos camas king size y dos baños.;king;Referido a una cama y sus implementos, de tamaño extra grande, 2 x 2 m.;grande;Cama de tamaño grande para dos personas.;1;1;;;
Con el aguacero que caía, nos emparamamos a la salida del cine, porque ni la sombrilla nos protegía.;emparamar;Empaparse con lluvia o sudor.;empaparse;absorber agua hasta quedar saturado.;1;1;;;
Se las ingenió para quitarse el uniforme y empiyamarse más temprano.;empiyamar;Poner la piyama.;ponerse el pijama;vestirse con la ropa de dormir;1;1;;;
Mire como se jetió esa camiseta de tanto lavarla.;jetiar;Ensanchar algo por uso, perdiendo su forma original.;desgastarse;Perder forma y apariencia por uso o lavados continuos;1;1;;;
estos enredos de la chatica [ .] son ardores de la mocedad, aunque algo anticipados. ahí se le irán pasando, a conforme vaya asentando los cascos;asentar los cascos;adquirir seriedad y juicio;madurar;Desarrollar más juicio y comportamiento serio con la edad;1;1;;;
Masa fritas, cachitantas para el hijo de María / san José no tiene abrigos tampoco techo y comida.;cachitanta;Arepa delgada de maíz blanco molido, acompañante de guisos y sopas.;arepas;Tortillas de maíz fritas o asadas, alimento básico colombiano.;1;1;;;
e puso bejuco por mero saludarlo;bejuco;que está disgustado, de mal humor o encolerizado. s;se molestó;experimentar enojo o contrariedad por algo trivial;1;1;;;
Pronto la oscuridad del cielo se adueñó de sus negrísimos ojos que brillaron igual que los de su caballo galapaguero.;galapaguero;Referido a una caballería, muy mansa, bien adiestrada.;manso;De temperamento tranquilo y dócil;1;1;;;
Les dicen elegantemente ausentistas, pero la verdad es que son unos completos faltones.;faltón;Referido a una persona, desleal o que suele quedar mal o incumplir lo acordado.;incumplidor;Persona que no cumple obligaciones, promesas o citas.;1;1;;;
A pesar de que había cenado bien siguió aturugándose de comida hasta que se indigestó.;aturugarse;Llenarse o atiborrarse alguien o algo.;hartarse;Comer en exceso hasta causar indigestión.;1;1;;;
Por salvar del abandono a 5 perros y 10 gatos llenos de pulgas y garrapatas, les dio alergia y se enroncharon de pies a cabeza.;enroncharse;Cubrirse alguien de ronchas.;cubrirse de ronchas;aparecer ronchas en la piel por irritación o alergia;1;1;;;
conseguí mi buena chanfa;chanfa;chanfaina, empleo, colocación;buen empleo;Trabajo fácil y bien pagado;0;1;;;
Hay que 'amansar' los zapatos. Nunca vayas a utilizar un par de zapatos nuevos en una carrera o en una salida larga.;amansar;Referido al calzado nuevo, utilizar diferentes medios caseros para que sea menos rígido o usarlo repetidamente para que se adapte bien al pie.;ablandar;hacer más suaves y cómodos los zapatos mediante su uso;1;1;;;
La joven en sus denuncias afirmaba no acordarse de nada porque estaba ‘enlagunada’. Medicina Legal ya había advertido que ella, en la madrugada, tenía una embriaguez de tres grados.;enlagunado;Referido a una persona, que pierde la memoria temporalmente a causa del exceso de alcohol.;borracha;Persona en estado de embriaguez severa por alcohol.;1;1;;;
Por petición del propio visitante, el almuerzo fue sancocho de gallina y guandolo, una bebida semejante a la aguapanela.;guandolo;Bebida refrescante preparada con panela y limón mandarino que se consume fría.;bebida de panela;Preparado líquido a base de panela y agua, servido frío o a temperatura ambiente;0;1;;;
Tenía su cuarto en un reblujo que no se podía ni entrar.;reblujo;Cosas en desorden, desorganizadas.;desorden;Falta de orden en cosas o espacios.;1;1;;;
Kathy es una modelo cubana que se ha popularizado en las redes sociales por su voluptuoso cuerpo, es toda una cantúa.;cantúa;Mujer voluptuosa, de caderas anchas y grandes glúteos.;mamacita;Mujer muy atractiva y de curvas pronunciadas.;1;1;;;
Hay varios métodos para lograr que el pelo, crespo, ondulado, rizado o con churos, se vea espléndido y recupere su aire.;churo;Mechón de pelo crespo con forma de espiral.;rizo;Mechón de cabello con forma de espiral o bucle;1;1;;;
Del lado del Planetario la calle estaba invadida: asadores de fritanga, de mazorca y pinchos que soltaban humaredas hirvientes de aceite y ajo.;fritanga;Plato que se prepara con varios alimentos fritos de la carne de res o de cerdo, como la asadura, la morcilla y el chicharrón, y algunos complementos, como las papas y el plátano.;comida frita popular;Platos fritos y callejeros típicos vendidos en puestos o asadores;1;1;;;
Con la maestría con que una elegante mariposa Morfo bate sus alas, el lente de los camarógrafos de Colombia Magia Salvaje nos lleva de viaje por una desconocida Colombia.;morfo;Mariposa grande de color tornasolado común en bosques próximos a cursos de agua y propia de las zonas frías en el oriente antioqueño.;mariposa Morpho;Mariposa tropical de alas azules iridiscentes y movimientos gráciles.;1;1;;;
levante más el surco para que no se pudra la papa;surco;tierra que levanta el arado entre una y otra hendedura;camellón;elevación de tierra entre hileras de cultivo para drenaje;0;1;;;
Reutiliza el agua de la tina y del lavado de tinacos, en el riego del jardín, limpieza de pisos,;tinaco;Recipente para recoger agua.;recipiente;contenedor grande usado para almacenar agua;1;1;;;
Mientras tanto la cocinera habrá hecho una cama en la olla con las tusas de las mazorcas y echará suficiente agua para poner a hervir los envueltos.;envuelto;Alimento que se prepara con masa de maíz, de forma cilíndrica, envuelta generalmente en ameros y cocida al vapor.;tamal;Pastel de masa de maíz con carne, arroz y verduras envuelto en hojas.;1;1;;;
[...] el uniforme montañero, poncho, carriel, alpargatas, pantalones blancos de liencillo y un sombrero que me puse inmediatamente para celebrar.;carriel;Bolso de cuero con tapa y de varios compartimentos a modo de fuelle en el interior, que se lleva colgado en el hombro.;bolso de cuero;bolsa pequeña de cuero con varios compartimientos para llevar objetos personales;1;1;;;
Los horarios de los colectivos están sujetos a modificaciones por parte de las empresas.;colectivo;Bus pequeño destinado al servicio público del transporte de pasajeros.;bus público;Vehículo de transporte compartido por pasajeros;1;1;;;
¿Acaso las advertencias sobre la eliminación de la visa para ir a España eran pura bulla?;bulla;Crear falsas expectativas.;rumor infundado;noticia o comentario sin fundamento que genera ruido y alarma;1;1;;;
Somos diseñadores con calidad y cumplimiento en todo lo relacionado con enchapes en oro, cromado, cadenas.;enchape;Baño de oro o plata, que se da a una cosa, especialmente a una joya.;baño;capa metálica aplicada sobre una pieza para recubrirla y mejorar su acabado;0;1;;;
La zambumbia es muy popular en el departamento de Santander en los conjuntos guabineros para la música del torbellino.;zambumbia;Instrumento musical hecho de calabazo cuyo extremo se cubre con cuero templado al que se incrusta una vara de madera que, rozándola con la mano, produce un sonido similar al gruñido de un cerdo.;instrumento musical;Utensilio percusivo usado en conjuntos musicales regionales.;0;1;;;
El manjar blanco, originario de la región del Valle del Cauca, es considerado un símbolo gastronómico y cultural de Colombia.;manjar;Dulce que se prepara con leche y azúcar y requiere cocción a fuego bajo hasta que alcance su consistencia.;dulce tradicional;Crema espesa de leche, azúcar y arroz del Valle del Cauca.;1;1;;;
Todo aquel que obtenga conocimientos alimenta su vida interior e intelectual, trasmite todo aquello que aprende a los demás, no es una persona hueca.;hueco, ca;Referido a una persona, que es de poca inteligencia y superficial.;vacía;carente de contenido intelectual o profundidad;0;1;;;
Ella no era experta en disimular pesares con sismatiquerías a la fuerza.;sismatiquería;Remilgo o necedad.;melindres;Excesiva delicadeza o remilgo en el comportamiento.;0;0;;;
qué jartera con tanto trámite;jartera;fastidio, molestia;qué fastidio;molestia o aburrimiento por algo pesado o engorroso;1;1;;;
Centenas de señoras de la ‘jai’ están furiosas porque no les ha llegado invitación al elegantísimo coctel de posesión.;jai;Clase social alta.;clase alta;grupo social acomodado y con pretensiones de distinción;1;1;;;
Alguien me dijo la última Semana Santa había sido fatal para la literatura universal porque en dos días habían muerto Mario Rivero y Corín Tellado. Quedé súpito.;súpito;Referido a una persona, perpleja o atónita por una sorpresa.;atónito;Estado de asombro intenso y sorpresa repentina.;1;1;;;
Con la época de lluvias a principios de abril, inicia la irrupción masiva y casi simultánea de cientos de cucarrones que vuelan a baja altura produciendo un zumbido característico.;cucarrón;Insecto del orden de los coleópteros, con dos juegos de alas, unas delanteras fuertes y duras, y otras traseras, membranosas y blandas.;escarabajo;Insecto coleóptero de caparazón duro que vuela y produce zumbido.;1;1;;;
El San Pedro se celebraba en el pueblo, se asistía a cabalgatas, a verbenas, donde se podía interactuar con las comparsas, a las cuales no les faltaba el taitapuro, el diablo y la diabla.;taitapuro;Personaje tradicional en los desfiles de comparsas, caracterizado por tener de 2 a 3 m de altura, una armazón apoyada en una estructura de madera y alambre que se coloca una persona en los hombros, y se viste con ropa masculina o femenina.;muñeco ritual;Figura hecha de trapos o materiales que se expone y quema en festejos populares;1;1;;;
Se llegó al predio, se observó que el agua que sale es de una canoera que está instalada para desaguar para la calle.;canoera;Especie de ducto ubicado bajo el tejado, que recoge y conduce el agua lluvia hacia el sistema de alcantarillado.;tubería de desagüe;conducto para evacuar agua hacia la calle;1;1;;;
¡Sapo, lambón! decía el cantante vallenato a quien se metía en su vida privada.;lambón;Referido a una persona, que se entromete o divulga información sobre los demás.;chismoso;Persona que revela secretos ajenos o entrometido en asuntos privados.;0;1;;;
después se puso muy necio: me cambiaba el radio de emisora y ponía reguetón.;necio;Referido a una persona, inquieta, que molesta mucho.;terco;Persona insistente y fastidiosa que hace lo que quiere;0;1;;;
el maíz no sirve, está jojoro;jojoro;podrido, esponjoso, sin sustancia;podrido;descompuesto y en mal estado para consumir;1;1;;;
Las porciones son generosas, probamos una exquisita y tierna sobrebarriga a la plancha y chocozuela con una gran salsa criolla, y de postre, natilla con jalea de guayaba.;chocozuela;Pieza de carne animal, magra, redondeada, tomada de la articulación entre la pierna y la cadera, que se usa en culinaria.;rótula de res;Parte de la rodilla de la vaca usada en cocina.;1;1;;;
Si llegas a una glorieta, debes esperar ya que tiene prelación el vehículo que va entorno a ella.;prelación;Prioridad que tiene un vehículo en una vía con respecto a otro.;preferencia;Derecho prioritario de paso en una glorieta.;1;1;;;
La distancia entre el animal y el bramadero debe ser la indicada para dar seguridad al animal y al trabajador.;bramadero;Poste clavado en el suelo que se usa para amarrar el ganado al que se va a amansar, herrar, curar o sacrificar.;poste de amarre;Poste clavado en el suelo para sujetar ganado durante manejo.;1;1;;;
Pedaleaba despernancado, sin ningún estilo, sin ninguna técnica.;despernancado;Referido a una persona, que abre excesivamente las piernas.;torpe;Que actúa con poca habilidad o destreza;0;1;;;
Realizar labores de pesca en el río, donde pueden obtener pescados como el sábalo y camarones como el chambero.;chambero;Camarón pequeño de río o de marea.;camarón;Crustáceo comestible de agua dulce capturado en ríos.;1;1;;;
Este es el caso del ñeque o guatín, un roedor hermoso por sí mismo, que está empezando a repoblar un bosquecillo en las inmediaciones de la ciudad de Ibagué.;guatín;Mamífero roedor de tamaño mediano, cuerpo alargado que vive en cuevas y zonas boscosas.;ñeque;roedor similar al agutí, de tamaño pequeño y aspecto robusto;1;1;;;
El guarumo se asocia con el aumento de la fecundidad de las mujeres.;guarumo;"Árbol que alcanza los 20 m de altura, con hojas palmeadas con un peciolo de hasta 60 cm de largo, que se ubican principalmente en la parte superior del tallo; se usa en medicina natural y para fabricar artesanías.";fertilidad;capacidad de concebir y tener descendencia;0;1;;;
Expertos explican que las características particulares de la matamata como sus protuberancias en la piel y sus bigotes le ayudan a detectar los movimientos de sus presas.;matamata;Tortuga de agua dulce de hasta 45 cm de longitud, de cabeza, pescuezo y caparazón de superficie irregular, bordes dentados y color café oscuro.;tortuga matamata;Tortuga de río amazónica con piel rugosa y bigotes sensoriales para cazar peces.;1;1;;;
Sucre mostrará toda la variedad de amasijos como el bollo de coco, bollo de batata, el cafongo y muchas delicias de la comida tradicional sucreña.;cafongo;Bollo típico de Sucre, envuelto en hojas de plátano, que se prepara con maíz, leche, panela, queso y suero, combinado con canela, clavo y pimienta picante, que se cocina al vapor.;bollito de maíz;masa de maíz envuelta y cocida, similar a un bollo;1;1;;;
Ofrecemos gran variedad de pantuflas y levantadoras en algodón dulce abrigo o algodón perchado.;levantadora;Tipo de bata generalmente larga que se pone sobre la ropa de dormir, al levantarse o para estar en la casa.;bata de casa;Bata delgada para usar al levantarse o en casa.;1;1;;;
En el Congreso hay un gran culillo y es el de la reforma a la justicia. Más de uno está en un proceso de investigación y ese culillo se expresa claramente en una iniciativa como la inmunidad.;culillo;Miedo, susto.;miedo;Sensación de temor que lleva a evitar riesgos o protegerse;1;1;;;
Ese primer día se veía tan desguarambilado, tan sin malicia, que no me importó que apestara a sudor, ni que tuviera mal aliento.;desguarambilado;Referido a una persona, descuidada en su forma de vestir.;ingenuo;Persona sin experiencia ni malicia.;0;1;;;
Entonces madrugamos para realizar esas tareas tan importantes, nos trasnochamos, llevamos trabajo a la casa y todo por sacar una tarea adelante.;trasnocharse;Pasarse la noche en vela o dormir solamente una parte de ella.;pasar la noche despierto;Mantenerse sin dormir durante la noche.;1;1;;;
la invité a matiné;matiné;función de cine o teatro que se efectúa hacia la media tarde;a la función de la tarde;ir a la sesión o función que se realiza por la tarde;1;1;;;
Empacó maletas y se fue a probar suerte esta vez a Bolivia, ya no como raspachín o recolector de hojas de coca sino como trabajador en un laboratorio.;raspachín;Persona que recoge hoja de coca parael procesamiento de droga.;recolector de campo;Persona que recoge manualmente productos agrícolas en las cosechas;1;1;;;
Todas las tardes se sentaba en el balcón de la casa y apapachaba su gatico.;apapachar;Consentir, mimar a una persona o un animal.;acariciar;Pasar la mano suavemente sobre alguien con cariño.;1;1;;;
me gusta el cucayo de arroz;cucayo;pegote o pega que se adhiere a la vasija en que se cuecen los alimentos cuando han permanecido bastante tiempo en el fuego;pegao;capa de arroz crujiente adherida al fondo de la olla;1;1;;;
La imagen de las comunidades de africanos deportados que se resisten a la esclavitud deviene un referente importante (palenques, quilombos, cimarrones).;cimarrón;Referido a un esclavo, que se refugiaba en los montes buscando la libertad.;esclavo fugado;Persona esclavizada que escapó y vive libre en comunidad;1;1;;;
¿Cuánto tiempo invirtió en la escogencia de los temas y en el proceso de producción y grabación?;escogencia;Elección, selección.;selección;Proceso de elegir entre varias opciones para quedarse con las más adecuadas;1;1;;;
Después de saber lo que Fernando dijo de ella, Luisa fue a su oficina y lo recogió delante de todo el mundo.;recoger;Decir a alguien la verdad de lo que se piensa.;enfrentó;Confrontar públicamente a alguien por lo que dijo o hizo;1;1;;;
Se le formó un huevo en la cabeza, cuando dio un traspié contra la pared.;huevo;Abultamiento que se forma en alguna parte del cuerpo, generalmente después de un golpe.;chichón;Bulto o elevación en la cabeza por un golpe.;1;1;;;
Es mejor que pidas permiso en tu casa, porque ya no te voy a hacer cuarto para que te vayas a rumbear.;cuarto;Ayudarle a alguien en la realización de una tarea prohibida o clandestina.;comodidad;favorecer que alguien se quede o se quede a gusto en casa ajena;0;1;;;
mi vestido tiene chispeaduras de barro;chispeadura;acción y efecto de chispearse;salpicaduras;pequeñas manchas producidas por barro proyectado;0;1;;;
habla un jurungo que no se le entiende;jurungo;idioma extraño;balbuceo;Habla confusa e incomprensible.;1;1;;;
La madre batió su puño para meterle un cascúo al hijo: casi le atina. “¡Cachito! ¡Deja la plebedad!”.;cascúo;Golpe dado en la cabeza con los nudillos.;golpe;Acción de pegar con el puño cerrado.;1;1;;;
lo arepiaron por haber llegado tarde;arepiar;dar palmadas a alguien, imitando la forma de apelmazar la masa del maíz;castigar;Imponer una sanción o pena por una falta;0;1;;;
Los ambientalistas de la universidad son una chipa para la defensa de las aves.;chipa;Grupo de personas muy comprometidas unas con otras para conseguir un próposito.;apoyo firme;sustento sólido y confiable para una causa.;0;1;;;
fíjese [ .] en el compañero que le va a tocar, para que no le haga caso cuando le salga con alguna arracachada;arracachada;necedad, tontería, simplicidad;tontería;acción o comentario absurdo y sin importancia;1;1;;;
No quiso contratar a un experto y la pintada de la casa le quedó toda chorota.;choroto;Referido a una cosa o una actividad, que se hace sin cuidado y sin prestar atención a los detalles.;mal hecha;Trabajo hecho de forma torpe o de mala calidad;1;1;;;
Quedó muy aplanchado con la separación de su esposa.;aplanchado, da;Referido a una persona, que no tiene ánimos o ganas de hacer algo.;decaído;Estado de abatimiento emocional y falta de ánimo.;1;1;;;
