Modismo;Definición Sonar;Definiciones Reales;Acorde;;
tapado, da;Persona astuta, inteligente o sagaz que piensa o actúa con rapidez y picardía.;Referido a una persona, de poca inteligencia. | Referido a una persona que oculta sus verdaderas intenciones para obtener sus propósitos.;0;;
champeta;Género musical afrocaribeño originado en los barrios de la Costa Caribe colombiana, caracterizado por ritmos acelerados, raíces africanas y una fuerte carga cultural y social.;Cuchillo de cocina. | Baile propio de la costa caribe colombiana. | Género musical que surgió en los años 80 en los barrios pupulares afrodescendientes de Cartagena, de ritmo alegre y sensual.;1;;
mielmesabe;Dulce tradicional colombiano hecho con leche cortada, panela, limón y canela, de textura grumosa y sabor a caramelo concentrado.;dulce de leche cuajada y hervida con panela | Dulce elaborado con leche cortada y panela.;1;;
guambía;Mochila caucana de origen indígena hecha de fique, también conocida como guambiza o jigra.;especie de mochila de fibra vegetal, generalmente cabuya, que se teje en forma de malla o red;1;;
carromato;Automóvil viejo, lento y de mala calidad.;Carro viejo.;1;;
trinitaria;Planta trepadora ornamental de flores vistosas, también conocida como buganvilla.;Arbusto trepador, de hasta 15 m de altura, de ramas leñosas con espinas, con abundantes flores de color rojo, violeta, blanco y fucsia.;1;;
asentarse;Recobrar el juicio o la cordura.;ajuiciarse;1;;
escapito;Movimiento súbito y pequeño para apartarse o evadir algo, generalmente con intención de evitar contacto o problema.;casi;0;;
arrancharse;Permanecer instalado en un lugar o en una postura con obstinación, sin ceder ni moverse.;Permanecer alguien de forma abusiva en la casa de una persona, sin mostrar deseos de abandonarla. | Resistirse una persona o un animal a hacer algo. | alojarse en un lugar, por lo general sin consentimiento de los dueños | empecinarse en hacer o no hacer algo;1;;
lambetazo;Adulación excesiva.;cada movimiento de la lengua al lamer | acto de adulación;1;;
nadado;Estilo o modo de nadar utilizado en Colombia.;Estilo de nadar.;1;;
rebotar;En Colombia, dejar de aceptar, atender o corresponder a alguien tras un intento de acercamiento o propuesta, especialmente en contextos sociales o afectivos.;Sentir ganas de vomitar. | Manifestar inconformidad contra alguien o algo, protestar.;0;;
espinarse;Huir o escapar rápidamente de un lugar.;Atragantarse o lastimarse la boca o garganta con espinas de pescado durante su ingesta.;0;;
atacado;Persona que actúa nerviosa o apresurada, a menudo agobiada por presión o sobresalto.;Referido a una persona, que actúa con precipitud, impaciencia.;1;;
desclarar;Expresión coloquial colombiana que significa declarar o confesar algo, usualmente sentimientos o intenciones en un contexto romántico.;inclinar suavemente una vasija para hacer salir el líquido sin remover el sedimento;0;;
cachicado;Deteriorado por mordeduras o mal corte de cabello.;Referido a una cosa, deteriorada o roída. | Referido al cabello, trasquilado o disparejo.;1;;
cámara de representantes;Expresión irónica para designar un lugar o situación repleto de personas inútiles o charlatanes.;cámara baja en el parlamento colombiano;0;;
amero;Hoja que envuelve la mazorca de maíz.;envoltura de la mazorca del maíz | Cada una de las hojas que envuelven la mazorca del maíz.;1;;
capitán;Persona que ejerce el mando o la autoridad sobre un grupo, unidad o equipo, especialmente en contextos militares o de liderazgo.;Pez de agua dulce de hasta 50 cm de longitud, de cuerpo alargado y cilíndrico, la aleta dorsal se encuentra en la parte posterior y la cabeza es más ancha que el resto del cuerpo. | pez comestible de agua dulce;0;;
cabalmente;Con precisión y exactitud, cumpliendo de modo completo y justo con lo establecido o esperado.;justamente;1;;
jopo;Trasero o nalgas.;Nalgas de una persona. | trasero, nalgas;1;;
mecato;Pequeño refrigerio que se toma entre comidas.;golosinas que se consumen entre las comidas | Alimento ligero y generalmente poco nutritivo que se come entre comidas.;1;;
casquillero;Persona que coquetea o insinúa afecto y promesas amorosas sin llegar a concretarlas.;Referido a una persona, que le gusta provocar a alguien el deseo sexual sin llegar a concretarse el acto.;1;;
cumbambón;Persona con la barbilla o mandíbula inferior notablemente prominente.;dicho de una persona, que tiene gruesa o abultada la mandíbula, belfo;1;;
batola;Prenda de vestir femenina de una sola pieza, holgada, larga y sin botones.;Prenda de vestir femenina de una sola pieza, larga y sin botones.;1;;
a lo que dé el tejo;Actitud despreocupada de improvisar o conformarse con cualquier resultado, como en el juego del tejo donde se acepta lo que ocurra.;al máximo | velozmente;0;;
ajiaco;Sopa espesa tradicional colombiana a base de varias clases de papa, pollo, maíz tierno y aromatizada con hojas de guasca.;sopa espesa, típica del altiplano colombiano, cuyos principales ingredientes son diversas clases de papa, carne de pollo, maíz tierno y guascas | Sopa espesa, de la cocina tradicional del altiplano cundiboyacense, hecho con diversas clases de papa, pollo, maíz tierno, y aromatizado con hojas de guasca.;1;;
clima;Estado del ambiente o sensación térmica que describe la temperatura, la humedad y las condiciones atmosféricas en un lugar y momento determinados.;Referido a una bebida, que está a temperatura ambiente.;0;;
montado;Estado de alguien que está en contra de otra persona y le hace cosas malas para perjudicarlo.;Referido a una persona, que tiene bienestar económico gracias a un golpe de suerte o un repentino empleo bien remunerado.;0;;
surumba;Agua de panela.;Agua de panela con limón. | huila, tol. agua de panela;1;;
serenarse;Recuperar la calma o tranquilidad tras un estado de agitación o enojo.;Salir al sereno, exponerse a él.;0;;
obra;Trabajo físico o proyecto de construcción, reforma o montaje realizado por obreros o contratistas.;Obra de construcción a la que le faltan los acabados como pisos, puertas interiores y pintura. | Obra de construcción que tiene sólo lo básico como planchas y paredes.;1;;
resbaloso;Persona reacia a comprometerse, especialmente en matrimonio.;huidizo, inclinado a no comprometerse, especialmente con el matrimonio;1;;
chipola;Término coloquial usado en algunas regiones para aludir a una mujer joven y atractiva o a algo muy bonito o excelente, según el contexto.;mujer, compañera;1;;
kilate;En Colombia, kilate es la unidad de peso para perlas y piedras preciosas equivalente a 1/140 de onza, o cada una de las veinticuatroavas partes de peso de oro puro en una aleación.;Unidad de pureza del oro que equivale a 1/24 parte de oro contenida en una aleación. | Unidad de peso para piedras preciosas equivalente a 200 miligramos.;1;;
madrina;Manada pequeña de ganado manso que sirve para reunir o guiar al bravío.;En una manada de ganado, res o grupo de reses mansas que sirven para reunir o guiar al resto de animales, especialmente a los bravíos. | Lote de ganado caballar o vacuno. | res o manada mansa que sirve de guía para conducir ganado bravío;1;;
rajaleña;Género musical y danza folclórica del sur del Tolima y del Huila, caracterizada por coplas populares en cuartetas acompañadas de tiple, guitarra y percusión, con tono picaresco y comunitario.;Baile en el que varias parejas danzan juntándose y separándose formando figuras e imitando algunos movimientos del trabajo campesino. | Género musical que acompaña al baile y expresa, a través de coplas llenas de picardía, las vivencias de los campesinos en su labor o en su relación con los demás. | baile y canto del folclor huilense y tolimense;1;;
verguero;Alboroto o desorden grande que implica pelea, confusión o caos en un lugar o entre personas.;Problema grande.;1;;
gato;Persona astuta o hábil para conseguir lo que quiere, a menudo con recursos ingeniosos o algo de picardía.;Faltar transparencia en una situación. | Golpear a alguien en el brazo o en la parte interna del muslo produciéndole un entumecimiento del músculo. | bíceps, músculo;0;;
curandero;Persona que practica medicina tradicional o rituales de sanación sin título médico oficial, basada en conocimientos empíricos y ancestrales.;Persona que se dedica al tratamiento de enfermos a través de prácticas curativas de la medicina tradicional o natural.;1;;
engalletado;Persona con muchos problemas o enamorada.;Referido a una persona, que tiene muchos problemas o que no sabe cómo resolverlos.;1;;
novio;Pareja sentimental masculina con la que se mantiene una relación romántica y de compromiso afectivo.;Planta ornamental con flores de variados colores que nacen en un mismo punto del tallo y hojas grandes de borde en forma de onda.;0;;
gualí;Canto religioso infantil entonado por comunidades afrocolombianas en los velorios alegres de niños fallecidos.;Ceremonia fúnebre en la que se canta, juega o se cuentan historias durante el rito funerario exclusivo para niños. | canto religioso de los negros chocoanos que se entona en el funeral de un niño;1;;
murraco;"Persona ruda o tosca, de carácter hosco y de maneras bruscas; también usada para describir a alguien muy fuerte o resistente.";Cuerpo de una persona muerta.;0;;
zalamero;Persona que adula o halaga de manera excesiva e hipócrita.;dicho de una persona, quisquillosa con la comida;0;;
tubino;Pequeño tubo fino y corto, generalmente de papel o plástico, donde se enrollan hilos como carretel.;Cilindro pequeño de plástico u otro material en el que se enrolla el hilo de costura.;1;;
bocina;Persona indiscreta que divulga chismes o información ajena, o dispositivo que amplifica o emite sonido en contextos coloquiales.;En los aparatos telefónicos, parte que se ubica cerca de la boca para que emita la voz.;0;;
acolitar;Actuar como cómplice o alcahueta, respaldando, tolerando o encubriendo las acciones de otra persona.;Apoyar a una persona en algún proyecto o idea. | Encubrir a quien hace algo ilícito.;1;;
abra;Término coloquial usado en algunas regiones de Colombia para indicar que alguien se retire o se aparte del lugar de manera abrupta y sin mayor explicación.;hoja de una puerta o ventana | terreno desmontado listo para la siembra;1;;
vaciada;Persona sin dinero.;Regaño fuerte. | regaño, reprensión en términos ásperos;0;;
canastear;Colocar sin consentimiento sustancias (generalmente drogas) en la bebida o comida de otra persona para alterar su estado o aprovecharse de ella.;coquetear con las empleadas del servicio doméstico;0;;
bajalenguas;Instrumento médico de madera u otro material utilizado para deprimir la lengua y examinar la cavidad bucal.;Implemento médico de madera que se utiliza para hacer bajar la lengua y poder observar mejor la cavidad bucal.;1;;
corbatudo;Persona que ocupa un puesto o trabajo bien remunerado y con cierta distinción social, asociado a quienes usan corbata.;persona que suele usufructuar corbatas;1;;
destutanarse;Caerse de cabeza de forma aparatosa o poco elegante.;Golpearse fuertemente al caer. | romperse la cabeza, descalabrarse;1;;
animalero;Persona que cuida, comercia o se ocupa de animales, o conjunto numeroso de animales relacionado con esa actividad.;Conjunto numeroso de animales.;1;;
sencillo;"Persona amable y sin pretensiones; de trato llano y comportamiento natural.";Dinero en monedas o en billetes de baja denominación.;0;;
bramadera;Juguete infantil formado por una tablita delgada en forma de rombo con un agujero y cuerda atada, que al girarla produce un sonido bramido.;bravera o respiradero de los hornos;0;;
lebranche;No es un modismo colombiano reconocido.;Nombre de varias especies de pez de agua dulce, de hasta 36 cm de longitud, cuerpo fusiforme con escamas, aleta dorsal transparente, con hábitos gregarios y comestible.;0;;
trabado;Persona con la conciencia o comportamiento alterados por el consumo de drogas, mostrando desorientación o efecto intoxicante.;Referido a una persona, que está bajo los efectos de la marihuana.;1;;
cunche;Pequeña cantidad restante de una bebida o comida.;saya tejida como la usaban las ñapangas o campesinas | refajo;0;;
ñonco;"Persona torpe, torpe o poco hábil en tareas físicas o sociales; también usado para describir algo de mala calidad o estropeado.";Referido a una persona, poco culta, sin instrucción y de formas toscas.;0;;
jailoso;Persona o cosa perteneciente a la alta sociedad o propia de ella.;dicho de una persona, que pertenece a la alta sociedad o aristocracia;1;;
financista;Persona que aporta el dinero necesario para una empresa.;Persona especializada en actividades bancarias o bursátiles.;1;;
carreteable;Camino estrecho y de tierra apto únicamente para vehículos de tracción animal o todo terreno.;camino angosto, sin pavimentar, por el cual pueden transitar algunos vehículos | Camino estrecho y de tierra.;1;;
gomelo;Persona joven que muestra actitudes y apariencia ostentosas y afectadas propias de una clase acomodada, preocupada por marcas y estatus social.;Referido a una persona, que manifiesta gustos de clase social alta en su forma de vestir, hablar y actuar. | joven de clase media o alta que se viste en forma llamativa y usa un lenguaje peculiar;1;;
prekínder;Etapa educativa anterior a la del kínder en Colombia.;Curso educativo que hacen los niños antes de ingresar al kínder.;1;;
cedulación;Trámite administrativo para expedir o actualizar la cédula de identidad o de ciudadanía ante la autoridad competente.;Expedición de cédulas de ciudadanía.;1;;
tartajo;Persona que habla de manera entrecortada y con repetición de sílabas por un impedimento del habla.;Tartamudo.;1;;
empalizada;Acumulación de troncos y maderas arrastradas por un río o caño durante una creciente, especialmente en los Llanos Orientales.;trecho de camino cuyo piso está afirmado con palos juntos;0;;
jinchera;Borrachera intensa causada por el consumo excesivo de alcohol.;borrachera | Borrachera.;1;;
plana;Grupo de personas importantes o de alto rango que dirigen o representan una organización.;Tarea escolar escrita en la que se repiten las mismas palabras, frases u oraciones en el cuaderno con los errores que se han cometido o para mejorar o practicar algún aspecto de la escritura.;0;;
chilonguear;Mecer a una persona con fuerza en la Costa Atlántica de Colombia.;mecer a una persona con fuerza, cuando se encuentra en una hamaca;1;;
ensurullar;Enrollar algo de forma rápida y desorganizada.;Plegar o enrollar algo de manera descuidada, especialmente un papel. | Juntar las hojas de tabaco en haces.;1;;
sanagua;Término despectivo usado en algunas regiones de Colombia para describir a una mujer considerada desinhibida o libertina en su conducta sexual.;Fruto esférico del cabecinegro o jícara, de cáscara rugosa café, con una o tres semillas, de este mismo color y lisa, de uso medicinal.;0;;
totuma;Vasija o recipiente tradicional hecho con el fruto seco del totumo, usado en zonas rurales para contener y servir líquidos o alimentos.;Fruto del totumo de color verde de tamaño grande, semiredondo y pulpa blanca. | Recipiente de uso doméstico hecho del fruto del totumo para guardar diferentes alimentos o cargar líquidos.;1;;
carambolo;Fruta estrella de forma pentagonal, originaria de regiones tropicales y cultivada en Colombia, de sabor agrio y con semillas en celdillas.;Árbol de entre 6 a 8 m de altura, de corteza de color café oscuro, flores de color púrpura rosado y fruto comestible, propio de los climas cálidos. | Fruto de este árbol, de color amarillo, alargado, con pulpa muy aromática, dulce y ácida y en forma de estrella cuando se corta de manera transversal.;1;;
grado;Expresión coloquial usada para describir la intensidad o nivel de algo, especialmente en contextos de aprobación o admiración.;Acto que se realiza al finalizar un ciclo académico, en el que se entrega un diploma.;0;;
míchico;Persona tacaña que evita gastar dinero, especialmente en contribuciones grupales.;voz, que repetida, se emplea para llamar los gatos;0;;
estampilla;Pequeño sello postal de papel usado para cubrir el pago del servicio de correos.;Trozo de papel pequeño con una imagen, de carácter oficial, que se pega en los documentos que se envían por correo.;1;;
altanería;Actitud de altivez, soberbia o prepotencia que implica mirar a los demás por encima del hombro.;Actitud grosera y despectiva hacia los demás por creer que se está en una posición superior.;1;;
enroncharse;Cubrirse el cuerpo de ronchas por irritación o alergia.;Cubrirse alguien de ronchas.;1;;
papelero;Persona que finge lo que no es o no siente.;simulador | Persona que simula una posición económica o un sentimiento.;1;;
lazo;Cadena gruesa de oro.;Cuerda tejida en forma de trenza que se usa generalmente para sujetar cargas o colgar objetos pesados.;0;;
entucar;Dar un beso apasionado o besar con lengua, especialmente en el habla coloquial de algunas regiones de Colombia.;Cortejar a alguien. | Abrirse paso con fuerza en medio de una multitud para llegar o entrar a algún lugar. | Intentar algo con tenacidad o insistencia. | Besarse con alguien con quien no se tiene una relación sentimental. | Tener relaciones sexuales ocasionales.;1;;
chispear;En Colombia, describir que llueve muy poco, con gotas menudas y dispersas.;lloviznar;1;;
matado;Persona extremadamente exhausta o fatigada.;fascinado o encantado con algo | Referido a una persona, encantada o impresionada por alguien o algo.;0;;
comistraje;Comida informal y abundante, a menudo mezcla de platos variados y poco refinados.;panecillos y otros amasijos para acompañar la merienda;1;;
convite;Reunión o invitación acompañada de comida y bebida para celebrar o agasajar a personas.;trabajos realizados en comunidad, especialmente en agricultura y construcción;0;;
mambear;Masticar mambe, polvo obtenido de hojas tostadas y molidas de coca amazónica mezclado con cenizas vegetales.;Consumir, diluyendo con la saliva el polvo del mambe en la boca, especialmente con fines rituales, medicinales o espirituales. | Consumir la hoja de coca tostada masticándola junto con algún tipo de cal, especialmente con fines rituales.;1;;
loquera;Locura o privación del juicio.;locura. ¡correr por el cura! –vocifera mazuera– pero ligero, que la fiebre poética le ha dado con loquera;1;;
verriondo;En Colombia, referido a persona que desempeña muy bien una actividad u oficio, valiente, audaz o de gran estatura.;persona mal intencionada | persona audaz, valiente | Referido a una actividad, difícil de hacer o resolver. | Referido a una persona, que está furioso, de mal genio. | Referido a una persona, que se destaca por una cualidad o que realiza bien algún trabajo.;1;;
desechable;Término coloquial despectivo usado en Colombia para nombrar a una persona que vive en la calle y es percibida como marginada, indigente o en situación de abandono social.;Persona que vive en la calle en condiciones de indigencia total.;1;;
amojonarse;Acobardarse o ponerse tímido y receloso ante una situación difícil.;Ponerse en posición de cuclillas.;0;;
monicongo;Persona o figura humana de aspecto muy feo o hecha sin arte de manera esquemática.;Muñeco hecho de cera negra, usado como talismán contra embrujos o hechicerías.;0;;
desacomedido;Poco dispuesto a prestar ayuda.;poco dispuesto a prestar ayuda;1;;
tabla;"Persona fiable o conveniente para cerrar un trato, acuerdo o amistad; alguien con quien todo queda arreglado y funcionando.";Tabla ancha de diversas maderas y medidas utilizada en construcción. | billete de mil pesos | Tabla delgada de diversas medidas de largo, utilizada en la construcción. | Decir a alguien la verdad de lo que se piensa.;0;;
mote;Sobrenombre que se da a una persona por alguna cualidad o condición suya.;Ojos de una persona | Maíz desgranado y cocinado que se usa como alimento. | granos de maíz sin cáscara y cocinados, que se usan en la preparación de diferentes platos | sopa de ñame con queso;0;;
velar;Permanecer despierto durante la noche para cuidar, acompañar o vigilar a una persona, cosa o difunto.;Ver comer fijamente a alguien, esperando que le den un bocado.;0;;
plátano;Agente de policía en la jerga carcelaria colombiana.;Variedad de plátano que se caracteriza por su fruto grueso y pequeño que al madurar se puede comer crudo o cocinado. | Plátano que se corta en trozos grandes se cocina en agua y se condimenta con sal. | Plátano que se deja secar al sol por espacio de tres meses, se hidrata y endulza con miel de panela y se prepara exclusivamente para la celebración del Corpus Christi. | Variedad de plátano pequeño de calidad inferior.;0;;
capaz;En Colombia, adverbio coloquial que expresa posibilidad o probabilidad, equivalente a 'quizás' o 'tal vez'.;pez de río, muy apreciado por su carne, carente de escamas y que se da en las cuencas del magdalena y el orinoco | Pez de agua dulce, de hasta 35 cm de longitud, de piel desprovista de escamas, cabeza aplanada y tres pares de barbas cerca de su boca.;0;;
garroteada;Paliza o serie de golpes propinados a una persona por una o varias personas.;paliza;1;;
apurruñar;Apretar una persona o cosa con fuerza.;apretar una persona o cosa;1;;
farto;Persona presumida, engreída o que muestra comportamientos afectadamente refinados.;Referido a una persona, complicada.;1;;
casanga;Boda o casamiento en contextos rurales de Colombia.;matrimonio | dulce que se hace con brevas, papaya verde y limones colados en almíbar o miel de caña;1;;
ripiar;Realizar un golpe fuerte o romper algo con violencia física, especialmente desgarrar o partir materiales.;Vencer al oponente en un enfrentamiento de baile. | Romper algo en pedazos.;1;;
jute;Persona tacaña o avara, que escatima gastos y rehúye dar dinero o favores.;Dulce que se prepara con papa pequeña llamada riche que se deja fermentar mínimo dos meses sumergidas en un hoyo de agua, luego se sacan y preparan con panela. | madera medio podrida;0;;
camionado;Persona que aparenta mayor estatus o se comporta con aire de superioridad, especialmente por vestir o conducirse como si tuviera poder económico o influencia.;carga que puede llevar un camión | Cantidad de carga que tiene un camión.;0;;
banderear;Humillar o poner en ridículo a alguien públicamente mediante burlas o señalamiento.;Recorrer las calles de un lado para otro para que alguien lo vea. | Exhibirse, ostentar. | Poner en evidencia a alguien. | Burlarse de una persona en público o ponerla en ridículo.;1;;
ajicie;Afición o entusiasmo pasajero despertado por un objeto, actividad o novedad.;Afición causada por algo nuevo, un objeto o actividad.;1;;
denuncio;En el habla coloquial colombiana, expresión usada para alertar o llamar la atención sobre una injusticia, falta o comportamiento reprochable, implicando intención de informar a una autoridad o al público.;Documento que se hace ante una autoridad judicial o policial para notificar la comisión de un delito. | denuncia;0;;
arrecharse;Ponerse muy enfadado, furioso o de mal genio, o bien experimentar excitación sexual intensa según el contexto regional.;excitarse sexualmente | enojarse, enfurecerse;1;;
cerrero;Persona inculta y brusca.;dicho de una persona, inculta, brusca | dicho del café, que se toma sin dulce | Referido a una persona, ruda o de trato difícil. | Referido a una bebida, como el café, de sabor fuerte y amargo.;1;;
fregado;En Colombia, utilizado para describir a alguien o algo en una situación difícil, comprometida o arruinada, ya sea económica, personal o de otro tipo.;Referido a una persona o un animal, difícil de tratar o satisfacer. | Referido a una persona, que saca provecho de las situaciones a costa de los demás. | Referido a una persona, encontrarse mal, física o económicamente. | Referido a una persona, que está enferma. | astuto, taimado | travieso, inquieto | difícil en el trato | Referido a una tarea o una situación, que tiene mucho trabajo, que es complicada.;1;;
barequear;Extraer oro de yacimientos al lavar en una batea la arena que contiene el mineral para separarla.;En minería, sacar el oro de un yacimiento usando una batea para lavar la arena y lograr que se desprenda.;1;;
escurrírsele las babas;Quedar embobado o mostrar evidente admiración y deseo hacia alguien al verlo, con comportamiento torpe o distraído.;dicho de una persona, quedar alelada o encantada ante algo que le gusta o atrae poderosamente;1;;
cumis;Bebida tradicional colombiana de leche fermentada.;bebida de leche fermentada;1;;
cuítiva;No es un modismo ni expresión idiomática colombiana.;especie de garrapata pequeña | mentira, embuste, patraña;0;;
colincharse;Viajar sin pagar agarrándose a la parte posterior de un autobús o de cualquier otro vehículo.;Viajar sin pagar agarrándose a la parte posterior de un automotor o haciéndose llevar sin ser invitado.;1;;
contendor;Persona que actúa como rival u oponente en una contienda, disputa o competencia.;En un enfrentamiento deportivo o político, adversario o rival.;1;;
panelero;Persona que elabora o vende panela.;relativo a la panela | Relativo a la panela o su producción. | Referido a una persona, que hace o vende panela.;1;;
berma;Margen lateral de la carretera reservado para peatones, vehículos no motorizados y ocasionalmente para estacionamiento de emergencia.;En una carretera, bordes usados para el tránsito de peatones, animales y vehículos de emergencia.;1;;
congo;Integrante de las comparsas del Carnaval de Barranquilla que desfilan con atuendos coloridos y un característico sombrero alto.;Disfraz típico del Carnaval, compuesto por un pantalón, una camisa de manga larga con pechera negra, una capa negra, todo adornado con colores vistosos, un turbante de flores falsas con cola hasta los tobillos y un machete de madera. | Persona disfrazada que participa en la comparsa del Carnaval. | Comparsa en la que se baila tal danza. | Baile típico del Carnaval de Barranquilla en el que participan hombres que danzan de forma improvisada al lado de mujeres y personas disfrazadas de animales.;1;;
desmechar;Arrancar o aflojar mechones o hebras, especialmente de cabello o fibras, o separar en hebras la carne cocida para usarla en guisos.;Referido a la carne, deshilacharla, desmenuzarla en hebras.;1;;
coquito;Bebida alcohólica cremosa y dulce a base de leche de coco y aguardiente, típica en reuniones y celebraciones informales.;Táctica en algunos juegos de mirar furtivamente y esconderse para no ser visto.;0;;
bailar;Ir de fiesta o salir a bailar en grupo.;En el fútbol, esquivar hábilmente al adversario con movimientos rápidos.;0;;
bombillo;Bulbo eléctrico.;Aparato que se usa para iluminar, el cual consta de una bola de cristal cerrada cuyo interior se enciende por el efecto de la corriente eléctrica. | bombilla eléctrica;0;;
bemba;Boca de labios gruesos y abultados.;boca de labios gruesos y abultados, característicos, especialmente, de la raza negra | Boca de labios gruesos y abultados. | Labio grueso y prominente, generalmente el inferior.;1;;
invierno;En Colombia, especialmente en Bogotá, periodo en la vida de una persona cuando comienzan a aparecerle canas por la vejez.;Época del año en la que llueve.;0;;
quinua;Cereal andino de granos pequeños y nutritivos usado como alimento básico y fuente de proteínas.;Planta que alcanza los 3 m de altura, cuyo fruto seco, es muy valorado por su alto valor alimenticio.;1;;
vos;Pronombre de segunda persona del singular empleado en Colombia como alternativa informal a 'tú' en regiones como Antioquia, Valle del Cauca y Nariño.;Tú.;1;;
falla;Error o equivocación cometida por descuido.;señal con que se indica la falta en la lista de alumnos | en los planteles escolares, falta de un alumno a clase;0;;
lolo;Persona ingenua o tonta, a veces usada en tono cariñoso o despectivo según el contexto.;Persona que va por distintos almacenes probándose los productos o preguntando por sus características sin tener la intención de comprarlos.;0;;
güinche;Aparato mecánico con torno y cable usado para levantar, arrastrar o izar cargas, especialmente montado en vehículos o para trabajos agrícolas.;dicho de un fruto, duro y seco, por haber madurado prematuramente | máquina que consiste en un torno que enrolla un cable, cuerda o cadena y se utiliza para levantar cargas pesadas;1;;
apicharse;Deteriorarse o descomponerse un alimento, especialmente la fruta, hasta volverse pasado o podrido.;descomponerse un alimento | Referido a un líquido o un alimento, descomponerse y despedir mal olor.;0;;
cuatrimoto;Vehículo motorizado de cuatro ruedas diseñado para circular por terrenos difíciles y recreación off-road.;Moto todoterreno de cuatro ruedas anchas con tracción total;1;;
carreriado;Desordenado o hecho sin cuidado ni esmero, con aspecto descuidado o mal arreglado.;Apresurado.;0;;
barba;En jerga colombiana, persona muy atractiva o galán, especialmente usada de forma coloquial para alabar la apariencia masculina.;Planta aérea de largos hilos de color gris que cuelgan de árboles grandes, con flores verdes o azules, parecidas al musgo.;0;;
repele;Persona de mal genio o carácter insoportable.;sobras de comida;0;;
moruno;Pantaleta o ropa interior femenina en el habla costeña colombiana.;Prenda interior femenina.;1;;
chiltado;Desportillado o rajado.;dicho de un objeto de loza, agrietada, resquebrajada;1;;
macambo;Fruto amazónico del árbol Theobroma bicolor, consumido como semilla comestible y valorado por su textura y aporte nutricional.;Variedad del árbol del cacao, de hasta 12 m de altura, hoja oblonga alargada, inflorescencia roja de pétalos largos, y fruto comestible. | Fruto de este árbol, de forma ovoide y de hasta 20 cm de largo, de cáscara leñosa de color amarillo al madurar, de semillas grandes y cubiertas de pulpa blanca, dulce y comestible.;1;;
casco;"Objeto, situación o asunto de poca importancia o de mala calidad; también uso coloquial para describir algo aburrido o que no cumple expectativas.";Cada una de las piezas en las que están divididos naturalmente algunos frutos, especialmente los cítricos. | Corteza de algunas frutas, cortada de una forma especial y usada en repostería.;0;;
jarocho;"Persona de modales bruscos y algo insolentes; también, habitante o natural del estado de Veracruz.";alegre, desenvuelto, ágil de movimientos;0;;
meterle muela;Hablar mucho y con labia para convencer o conquistar a otra persona.;a algo;0;;
encartado;Persona con muchos problemas o en situación embarazosa, incómoda o problemática.;Referido a una persona, que tiene muchos problemas o que no sabe cómo resolver un asunto.;1;;
aguanta;En Colombia, se aplica a algo o alguien que está bueno, sirve o justifica el esfuerzo necesario para obtenerlo.;expresión usada por los pasajeros de un vehículo para que el conductor se detenga;0;;
empelotado;Persona desnuda o con muy poca ropa.;En la labor artesanal, referido al barro, mal amasado o mal preparado.;0;;
embucharse;Llenarse o hartarse del estómago por comer o beber en exceso, o quedarse con algo para uno mismo sin compartirlo.;Llenarse de comida o especialmente de un líquido.;1;;
calungo;Animal, especialmente cerdo o perro, flaco o desnutrido.;dicho del perro o del cerdo, que no tiene pelo;1;;
anche;Interjección que expresa acuerdo o confirmación.;Cáscara desmenuzada del grano de los cereales.;0;;
golpe;Impacto físico o choque contundente entre objetos o personas, y por extensión, un percance o suceso brusco que causa daño o alteración.;cada una de las tres comidas principales del día | Cualquiera de las tres comidas diarias.;0;;
atisbón;Observar con cuidado y disimulo por una rendija o abertura.;fisgón, atisbador;0;;
liberalismo;En Colombia, designa la corriente política opuesta al conservadurismo, promotora de reformas progresistas, federalismo y derechos de los trabajadores.;Movimiento político representado por el Partido Liberal Colombiano, fundado en 1848.;1;;
solterita;Mujer joven o adulta que mantiene estado civil de soltera, con matiz afectuoso o coloquial en el trato.;Galleta de harina de trigo freída en aceite y cubierta con arequipe.;0;;
carisellazo;Decisión tomada al azar mediante el lanzamiento de una moneda, equivalente a resolver algo a cara o cruz.;Lanzamiento de una moneda a cara o sello para decidir aleatoriamente un asunto o el curso de una acción. | lanzamiento de una moneda al aire para someter una decisión al azar | Decisión tomada al azar, sin plena certeza.;1;;
poguear;Bailar saltando y empujándose en grupo al ritmo de la música rock en conciertos.;Forma de bailar música rock saltando, brincando, golpeandose entre los participantes con patadas y puños.;1;;
culirroto;Adjétivo coloquial que describe a una persona desarrapada o andrajosa.;desarrapado, andrajoso;1;;
mediasnueves;Refrigerio ligero que se toma a media mañana entre el desayuno y el almuerzo.;Comida que se toma en la mañana entre el desayuno y el almuerzo.;1;;
monte;Persona o cosa poco confiable o de dudosa reputación.;Maleza, vegetación que se considera mala hierba. | Zona extensa de vegetación sin cultivo y muy poblada de plantas y animales.;0;;
diastre(s;Exclamación que expresa extrañeza o sorpresa como eufemismo de 'diablo'.;expresión que denota sorpresa o contrariedad;1;;
jalado;Persona embriagada por el alcohol.;Referido a una persona, borracha. | ebrio, borracho;0;;
mujervieja;Término coloquial que alude de forma familiar o despectiva a una mujer, usualmente implicando edad, experiencia o actitud considerada propia de una ‘vieja’.;Referido a una niña, con actitud y carácter similar a los de una mujer adulta.;0;;
